# Matter power spectrum P(k) at redshift z=0
# for k=2.09001e-07 to 345.411 h/Mpc,
# number of wavenumbers equal to 592
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.840603626687e-01       2.394651631780e+03 
       1.872736474962e-01       2.348188662097e+03 
       1.904869355649e-01       2.299535159125e+03 
       1.937002267086e-01       2.246953290177e+03 
       1.969135207735e-01       2.189883232409e+03 
       2.001268176167e-01       2.128280378319e+03 
       2.033401171046e-01       2.063006987297e+03 
       2.065534191124e-01       1.995501807875e+03 
       2.097667235231e-01       1.927286007091e+03 
       2.129800302270e-01       1.860173775144e+03 
       2.161933391209e-01       1.795614496517e+03 
       2.194066501080e-01       1.734771055633e+03 
       2.226199630968e-01       1.678634168920e+03 
       2.258332780013e-01       1.627537914115e+03 
       2.290465947403e-01       1.581843380390e+03 
       2.322599132371e-01       1.541255495855e+03 
       2.354732334193e-01       1.505398327200e+03 
       2.386865552183e-01       1.473572667613e+03 
       2.418998785693e-01       1.444816951732e+03 
       2.451132034109e-01       1.418167097237e+03 
       2.483265296847e-01       1.392610854975e+03 
       2.515398573357e-01       1.367283112054e+03 
       2.547531863112e-01       1.341476334504e+03 
       2.579665165616e-01       1.314780106767e+03 
       2.611798480395e-01       1.286956604438e+03 
       2.643931806999e-01       1.257976262737e+03 
       2.676065144999e-01       1.228041515302e+03 
       2.708198493987e-01       1.197448004283e+03 
       2.740331853574e-01       1.166630880241e+03 
       2.772465223390e-01       1.136118729736e+03 
       2.804598603081e-01       1.106343262729e+03 
       2.836731992309e-01       1.077833824678e+03 
       2.868865390753e-01       1.050923255637e+03 
       2.900998798104e-01       1.025851002262e+03 
       2.933132214069e-01       1.002666928590e+03 
       2.965265638364e-01       9.813437393162e+02 
       2.997399070723e-01       9.616909801064e+02 
       3.029532510885e-01       9.434746998505e+02 
       3.061665958605e-01       9.264404023000e+02 
       3.093799413645e-01       9.102552605354e+02 
       3.125932875779e-01       8.946517894173e+02 
       3.158066344789e-01       8.793810951265e+02 
       3.190199820466e-01       8.642188220316e+02 
       3.222333302610e-01       8.489327991212e+02 
       3.254466791028e-01       8.334351440175e+02 
       3.286600285536e-01       8.177081646266e+02 
       3.318733785955e-01       8.017550703954e+02 
       3.350867292115e-01       7.857328525587e+02 
       3.383000803851e-01       7.697584887511e+02 
       3.415134321006e-01       7.539748212303e+02 
       3.447267843427e-01       7.385225682425e+02 
       3.479401370967e-01       7.235307357967e+02 
       3.511534903485e-01       7.090781172633e+02 
       3.543668440846e-01       6.952645540554e+02 
       3.575801982918e-01       6.821035478714e+02 
       3.607935529574e-01       6.696484482592e+02 
       3.640069080693e-01       6.578444210026e+02 
       3.672202636157e-01       6.466520879047e+02 
       3.704336195853e-01       6.359699826606e+02 
