# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       5.718108838624e+13       2.311697487609e-25       8.105416782200e-09       7.054478075727e+21       1.416504618283e+04       2.477225702167e-10       8.099727577755e+17       4.679795790469e-09       2.941634712878e+43       4.583210133549e+32       2.504206771408e+33       3.492914243310e-08       2.034931378916e+43       4.976566092091e+43       4.976566092091e+43       1.658855363931e+43      -8.186174223624e+51       1.147145765326e-05       9.443343559124e-01 
       5.656974156908e+13       2.361932306885e-25       8.192728273571e-09       6.904439724620e+21       1.416504618283e+04       2.503996976110e-10       8.013130018767e+17       4.730370146694e-09       2.817836892574e+43       4.437773181116e+32       2.424741900611e+33       3.492914243310e-08       1.949291898230e+43       4.767128791091e+43       4.767128791091e+43       1.589042930268e+43      -7.757823053495e+51       1.158790018914e-05       9.348450882111e-01 
       5.596493091520e+13       2.413258765053e-25       8.281858754344e-09       6.757592468101e+21       1.416504618283e+04       2.531057566084e-10       7.927458310327e+17       4.781491057884e-09       2.699249066647e+43       4.296951314292e+32       2.347798652934e+33       3.492914243310e-08       1.867256529569e+43       4.566505596494e+43       4.566505596494e+43       1.522168532072e+43      -7.351885860876e+51       1.170434272503e-05       9.255446315267e-01 
       5.536658654378e+13       2.465700582462e-25       8.370989235118e-09       6.613868436291e+21       1.416504618283e+04       2.558410598715e-10       7.842702553782e+17       4.833164430580e-09       2.585651974035e+43       4.160598084635e+32       2.273297010840e+33       3.492914243310e-08       1.788673594952e+43       4.374325569256e+43       4.374325569256e+43       1.458108522996e+43      -6.967189808100e+51       1.182078526091e-05       9.164274061082e-01 
       5.477463932109e+13       2.519281998629e-25       8.461938705295e-09       6.473201202803e+21       1.416504618283e+04       2.586059234419e-10       7.758852956310e+17       4.885396235274e-09       2.476835581215e+43       4.028571690886e+32       2.201159495955e+33       3.492914243310e-08       1.713397799721e+43       4.190233381196e+43       4.190233381196e+43       1.396744460312e+43      -6.602623427604e+51       1.193722779680e-05       9.074880499412e-01 
       5.418902085255e+13       2.574027775729e-25       8.552888175473e-09       6.335525754042e+21       1.416504618283e+04       2.614006667766e-10       7.675899829786e+17       4.938192506850e-09       2.372598693860e+43       3.900734831499e+32       2.131311088489e+33       3.492914243310e-08       1.641289963901e+43       4.013888658013e+43       4.013888658013e+43       1.337962885920e+43      -6.257133410671e+51       1.205367033269e-05       8.987214081809e-01 
       5.360966347481e+13       2.629963218355e-25       8.645656635053e-09       6.200778459157e+21       1.416504618283e+04       2.642256127850e-10       7.593833589666e+17       4.991559345546e-09       2.272748584847e+43       3.776954561860e+32       2.063679149222e+33       3.492914243310e-08       1.572216764864e+43       3.844965349955e+43       3.844965349955e+43       1.281655116570e+43      -5.929721564196e+51       1.217011286859e-05       8.901225232933e-01 
       5.303650024796e+13       2.687114177018e-25       8.738425094634e-09       6.068897040631e+21       1.416504618283e+04       2.670810878660e-10       7.512644753879e+17       5.045502917404e-09       2.177100637917e+43       3.657102156024e+32       1.998193343964e+33       3.492914243310e-08       1.506050490825e+43       3.683151128978e+43       3.683151128978e+43       1.227717042914e+43      -5.619441926703e+51       1.228655540449e-05       8.816866256556e-01 
       5.246946494773e+13       2.745507066533e-25       8.833012543619e-09       5.939820545498e+21       1.416504618283e+04       2.699674219460e-10       7.432323941729e+17       5.100029455178e-09       2.085478006332e+43       3.541052972851e+32       1.934785570406e+33       3.492914243310e-08       1.442668804711e+43       3.528146811272e+43       3.528146811272e+43       1.176048937014e+43      -5.325398035256e+51       1.240299794039e-05       8.734091247735e-01 
       5.190849205793e+13       2.805168874993e-25       8.929418982007e-09       5.813489317171e+21       1.416504618283e+04       2.728849485171e-10       7.352861872815e+17       5.155145258958e-09       1.997711285894e+43       3.428686326381e+32       1.873389887299e+33       3.492914243310e-08       1.381954517971e+43       3.379665804086e+43       3.379665804086e+43       1.126555267955e+43      -5.046740335396e+51       1.251944047630e-05       8.652856009330e-01 
       5.135351676279e+13       2.866127176099e-25       9.025825420395e-09       5.689844967871e+21       1.416504618283e+04       2.758340046750e-10       7.274249365956e+17       5.210856696893e-09       1.913638201732e+43       3.319885360327e+32       1.813942445879e+33       3.492914243310e-08       1.323795373895e+43       3.237433575841e+43       3.237433575841e+43       1.079144525209e+43      -4.782663726597e+51       1.263588301220e-05       8.573117973288e-01 
       5.080447493954e+13       2.928410144968e-25       9.122231858782e-09       5.568830351643e+21       1.416504618283e+04       2.788149311588e-10       7.196477338129e+17       5.267170206019e-09       1.833103308263e+43       3.214536926551e+32       1.756381423467e+33       3.492914243310e-08       1.268083840067e+43       3.101187148538e+43       3.101187148538e+43       1.033729049443e+43      -4.532405236165e+51       1.275232554810e-05       8.494836126453e-01 
       5.026130315096e+13       2.992046565645e-25       9.222276275977e-09       5.450389537938e+21       1.416504618283e+04       2.818280723897e-10       7.119536803424e+17       5.324092292837e-09       1.755957701787e+43       3.112531467395e+32       1.700646959173e+33       3.492914243310e-08       1.214716909538e+43       2.970674611527e+43       2.970674611527e+43       9.902248704418e+42      -4.295241814843e+51       1.286876808400e-05       8.417970939914e-01 
       4.972393863805e+13       3.057065851910e-25       9.320501703769e-09       5.334467785772e+21       1.416504618283e+04       2.848737765111e-10       7.043418872001e+17       5.381629534288e-09       1.682058745171e+43       3.013762901743e+32       1.646681091648e+33       3.492914243310e-08       1.163595910377e+43       2.845654655744e+43       2.845654655744e+43       9.485515518496e+42      -4.070488247778e+51       1.298521061990e-05       8.342484302849e-01 
